Account,date,daily_pnl,trade_count,avg_trade_size,sentiment_value,sentiment_class,win_rate,buy_sell_ratio
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-10,-271.25995,97,586.3769,50.0,Neutral,0.26804123711340205,0.6724137931034483
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-11,71.390755,39,484.4313,69.0,Greed,0.1794871794871795,0.6956521739130435
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-12,103.67729,44,282.00998,62.0,Greed,0.13636363636363635,0.29411764705882354
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-13,218.4294,67,540.27106,61.0,Greed,0.11940298507462686,0.717948717948718
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-14,992.80304,79,484.39453,63.0,Greed,0.31645569620253167,0.6458333333333334
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-15,361.15585,72,792.08386,70.0,Greed,0.375,0.3090909090909091
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-16,319.2237,88,467.34543,75.0,Extreme Greed,0.26136363636363635,0.31343283582089554
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-17,498.16986,50,558.728,75.0,Extreme Greed,0.5,0.6666666666666666
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-18,307.10504,34,583.8729,77.0,Extreme Greed,0.5,1.125
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-19,541.74274,27,855.0278,77.0,Extreme Greed,0.37037037037037035,1.25
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-20,2262.9443,66,1131.5054,76.0,Extreme Greed,0.5606060606060606,2.473684210526316
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-21,287.8219,13,645.53613,76.0,Extreme Greed,0.46153846153846156,2.25
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-22,2867.6138,98,587.97,84.0,Extreme Greed,0.35714285714285715,0.32432432432432434
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-23,420.49115,26,501.16,75.0,Extreme Greed,0.46153846153846156,2.7142857142857144
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-24,553.5256,40,583.839,75.0,Extreme Greed,0.45,2.3333333333333335
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-25,416.1486,36,607.74585,75.0,Extreme Greed,0.5555555555555556,1.1176470588235294
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-26,535.93866,18,586.3983,73.0,Greed,0.8888888888888888,0.2857142857142857
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-27,1295.8256,83,600.49036,71.0,Greed,0.40963855421686746,4.1875
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-28,475.70264,43,577.77655,72.0,Greed,0.627906976744186,0.22857142857142856
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-29,41.93505,14,446.2164,72.0,Greed,0.21428571428571427,13.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-30,783.82935,44,634.84955,70.0,Greed,0.4318181818181818,0.1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-01-31,488.58224,57,426.12613,76.0,Extreme Greed,0.40350877192982454,0.2391304347826087
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-01,526.4482,33,490.5812,68.0,Greed,0.696969696969697,2.3
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-02,-782.6517,108,475.55676,60.0,Greed,0.25,3.32
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-03,2440.9165,182,633.5157,44.0,Fear,0.4010989010989011,1.4594594594594594
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-04,874.3811,34,389.96558,72.0,Greed,0.47058823529411764,0.7
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-05,32.72269,3,431.90002,54.0,Neutral,0.3333333333333333,2.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-06,922.6724,63,414.61682,49.0,Neutral,0.23809523809523808,1.625
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-07,126.112976,17,288.22882,44.0,Fear,0.8235294117647058,1.125
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-08,78.9025,22,532.60455,44.0,Fear,0.22727272727272727,6.333333333333333
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-09,378.02795,29,352.76932,46.0,Neutral,0.7586206896551724,0.45
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-10,4.4272203,6,521.32,43.0,Fear,0.3333333333333333,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-11,314.91827,17,456.26175,47.0,Neutral,0.4117647058823529,0.4166666666666667
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-12,117.099236,5,661.658,46.0,Neutral,0.8,1.5
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-13,534.8543,47,383.71597,50.0,Neutral,0.574468085106383,0.3055555555555556
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-14,-10.630653,47,315.58212,48.0,Neutral,0.6808510638297872,0.34285714285714286
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-15,231.07204,21,367.2038,50.0,Neutral,0.23809523809523808,1.1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-16,278.92252,41,396.6439,54.0,Neutral,0.4146341463414634,3.1
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-17,19.482565,13,392.23538,51.0,Neutral,0.38461538461538464,2.25
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-18,336.64105,54,415.75278,47.0,Neutral,0.37037037037037035,2.375
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-19,89.2612,22,303.9009,44.0,Fear,0.2727272727272727,6.333333333333333
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-20,168.02347,13,378.7577,49.0,Neutral,0.8461538461538461,1.1666666666666667
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-21,165.77664,15,301.59067,55.0,Greed,0.7333333333333333,0.6666666666666666
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-22,31.523153,18,343.53668,49.0,Neutral,0.1111111111111111,0.5
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-23,122.05779,7,369.99286,50.0,Neutral,0.7142857142857143,6.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-24,437.18546,29,543.7445,49.0,Neutral,0.3793103448275862,6.25
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-25,3455.585,190,512.51794,25.0,Fear,0.3684210526315789,2.7254901960784315
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-26,-200.7982,28,603.31854,21.0,Extreme Fear,0.10714285714285714,0.16666666666666666
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-27,-195.84146,18,330.11832,10.0,Extreme Fear,0.05555555555555555,0.6363636363636364
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-02-28,933.17053,71,514.1759,16.0,Extreme Fear,0.36619718309859156,1.9583333333333333
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-01,109.593094,27,617.19183,20.0,Extreme Fear,0.4444444444444444,0.22727272727272727
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-02,349.1209,21,1106.6938,26.0,Fear,0.38095238095238093,0.16666666666666666
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-03,376.01712,33,591.21606,33.0,Fear,0.36363636363636365,0.2692307692307692
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-04,444.26666,32,502.82343,15.0,Extreme Fear,0.21875,31.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-05,423.18323,21,550.09143,20.0,Extreme Fear,0.2857142857142857,1.625
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-06,102.92652,12,742.99664,25.0,Fear,0.5,0.5
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-07,781.6706,62,463.66806,34.0,Fear,0.25806451612903225,2.263157894736842
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-08,119.3611,31,449.92743,28.0,Fear,0.22580645161290322,5.2
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-09,0.0,8,827.65375,27.0,Fear,0.0,inf
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-10,0.0,16,734.3569,20.0,Extreme Fear,0.0,inf
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-11,266.83713,32,504.60376,24.0,Extreme Fear,0.125,2.2
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-12,78.71444,7,738.5457,34.0,Fear,0.42857142857142855,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-13,-1.26724,9,364.46555,45.0,Neutral,0.2222222222222222,8.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-15,202.31319,36,837.4561,46.0,Neutral,0.8333333333333334,0.09090909090909091
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-16,-6.3424845,7,569.8328,30.0,Fear,0.2857142857142857,6.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-17,-31.277088,3,705.3433,32.0,Fear,0.0,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-19,-2.8135686,12,485.39084,32.0,Fear,0.16666666666666666,0.09090909090909091
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-20,-147.7893,20,769.23846,49.0,Neutral,0.7,0.8181818181818182
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-21,39.124702,6,494.46,31.0,Fear,0.3333333333333333,0.5
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-22,-1184.0461,11,340.78363,32.0,Fear,0.0,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-23,0.0,2,374.475,30.0,Fear,0.0,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-24,-216.4317,25,545.19604,45.0,Neutral,0.4,0.47058823529411764
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-25,87.95349,3,377.80997,46.0,Neutral,0.3333333333333333,0.5
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-26,69.285,3,749.9666,47.0,Neutral,0.3333333333333333,inf
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-30,0.0,3,250.07332,32.0,Fear,0.0,inf
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-03-31,798.18756,16,471.555,34.0,Fear,0.3125,15.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-01,-680.2875,19,247.43948,34.0,Fear,0.3157894736842105,0.46153846153846156
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-02,93.00647,4,405.9275,44.0,Fear,0.75,3.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-03,7.052034,14,635.2357,25.0,Fear,0.14285714285714285,6.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-04,0.0,2,874.77997,28.0,Fear,0.0,inf
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-05,-132.88136,25,586.65717,30.0,Fear,0.4,0.19047619047619047
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-06,-1400.5515,15,661.3813,34.0,Fear,0.26666666666666666,0.6666666666666666
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-07,-5651.5522,48,569.6546,23.0,Extreme Fear,0.14583333333333334,0.7777777777777778
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-08,-6745.0273,42,700.95593,24.0,Extreme Fear,0.2619047619047619,0.5555555555555556
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-09,-3911.274,56,638.1584,18.0,Extreme Fear,0.4642857142857143,0.9310344827586207
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-10,258.03247,21,520.3176,39.0,Fear,0.38095238095238093,6.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-11,608.2466,28,378.8593,25.0,Fear,0.6071428571428571,1.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-12,3105.9202,41,550.19196,43.0,Fear,0.5853658536585366,1.7333333333333334
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-13,490.3263,26,601.83997,45.0,Neutral,0.38461538461538464,2.25
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-14,263.76926,7,377.7543,31.0,Fear,0.7142857142857143,6.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-16,17.022667,11,768.9891,29.0,Fear,0.2727272727272727,10.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-17,169.67584,29,456.5383,30.0,Fear,0.5172413793103449,0.3181818181818182
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-19,64.12822,2,375.075,32.0,Fear,1.0,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-20,12.652264,21,580.81,37.0,Fear,0.5238095238095238,2.5
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-21,-2.15033,12,249.97833,39.0,Fear,0.4166666666666667,3.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-22,-282.26624,14,343.83356,47.0,Neutral,0.07142857142857142,0.16666666666666666
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-23,511.72034,45,336.54623,72.0,Greed,0.35555555555555557,0.3235294117647059
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-24,350.89664,24,396.04294,63.0,Greed,0.25,0.8461538461538461
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-25,0.0,7,392.83716,60.0,Greed,0.0,0.75
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-26,147.60739,18,288.9161,65.0,Greed,0.2222222222222222,0.5
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-27,361.18344,13,370.71155,61.0,Greed,0.6923076923076923,0.625
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-28,146.42056,9,360.80112,54.0,Neutral,0.8888888888888888,1.25
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-04-29,30.495403,7,356.97144,60.0,Greed,0.14285714285714285,0.16666666666666666
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2025-05-01,37.385303,7,299.01288,53.0,Neutral,0.14285714285714285,0.0
